Year,Author,Title,Journal,Details,PDF_file,Month
2024,"Lee-or Alon, Hana Weitman, Alexander Shleyfman, and Gal A. Kaminka",Planning to be Healthy: Towards Personalized Medication Planning,In Proceedings of the European Conference on Artificial Intelligence (ECAI),NA,Planning-to-be-Healthy-ECAI-24.pdf,10
2024,"Lee-or Alon, Hana Weitman, Alexander Shleyfman, and Gal A. Kaminka",Towards Explainable General Medication Planning,In Proceesings of the ECAI Workshop on Explainable Artificial Intelligence for the Medical Domain (EXPLIMED-24),NA,EXPLIMED-24-Towards-Explainable-General-Medication-Planning.pdf,10
2024,"Lee-or Alon, Hana Weitman, Alexander Shleyfman, and Gal A. Kaminka",Towards Precision Medication Planning,In Proceedings of the AIME Workshop on AI and Precision Medicine,NA,NA,7
2024,"Lee-or Alon, Hana Weitman, Alexander Shleyfman, and Gal Kaminka",Towards Personalized Medication Planning,In Proceedings of the ICAPS-24 Workshop on Knowledge Engineering for Planning and Scheduling (KEPS),NA,KEPS-24-Towards-Personalized-Medication-Planning.pdf,6
2024,"Daniel Gnad, Lee-or Alon, Eyal Weiss, and Alexander Shleyfman",PDBs Go Numeric: Pattern-Database Heuristics for Simple Numeric Planning,In Proceedings of the ICAPS-24 Workshop on Heuristics and Search for Domain-Independent Planning (HSDIP),NA,HSDIP24-PDBs-Go-Numeric.pdf,6
2023,"Lee-or Alon, Hana Weitman, and  Gal A. Kaminka",First Steps Towards Planning for Targeted Medicine,In Proceedings of the ICAPS-23 Workshop on Knowledge Engineering for Planning and Scheduling (KEPS),NA,First-Steps-Towards-Planning-for-Targeted-Medicine-KEPS-23.pdf,NA
2018,"Lee-or Alon, Noa Agmon, and Gal A. Kaminka",Taking Turns in Complete Coverage for Multiple Robots,"In 14th International Symposium on Distributed Autonomous Robotic Systems (DARS-2018), Springer",NA,Taking-Turns-in-Complete-Coverage-for-Multiple-Robots-DARS-18.pdf,NA
2022,"Lee-or Alon, Orna Agmon Ben-Yehuda, Sigal Oren",Auctioning cluster resources.,In Proceedings of the 31st International Symposium on High-Performance Parallel and Distributed Computing,"</br> A shorter version was published in 15th ACM International Systems and Storage Conference, SYSTOR 2022 . Association for Computing Machinery, Inc.",NA,NA
2020,"Idan Mosseri, Lee-or Alon, Re’Em Harel, and Gal Oren",ComPar: optimized multi-compiler for automatic OpenMP S2S parallelization,"In OpenMP: Portable Multi-Level Parallelism on Modern Systems: 16th International Workshop on OpenMP, IWOMP 2020, Springer",NA,NA,NA
2020,"Re’em Harel, Idan Mosseri, Harel Levin, Lee-or Alon, Matan Rusanovsky, and Gal Oren","Source-to-source parallelization compilers for scientific shared-memory multi-core and accelerated multiprocessing: analysis, pitfalls, enhancement and potential.",International Journal of Parallel Programming 48 ,NA,NA,NA
2019,"Matan Rusanovsky, Re’em Harel, Lee-or Alon, Idan Mosseri, Harel Levin, and Gal Oren",BACKUS: Comprehensive High-Performance Research Software Engineering Approach for Simulations in Supercomputing Systems,arXiv,NA,NA,NA
2025,"Daniel Gnad, Lee-or Alon, Eyal Weiss, Alexander Shleyfman",PDBs Go Numeric: Pattern-Database Heuristics for Simple Numeric Planning,Proceedings of the AAAI Conference on Artificial Intelligence,NA,PDBs-Go-Numeric-AAAI.pdf,4
